id	author	documents	citations	total link strength
1042	"natarajan, prem"	1	18	0
1043	"navas, gustavo"	1	0	0
1044	"navas-reascos, gabriel e."	1	0	0
1045	"navas-reascos, gustavo"	1	0	0
1046	"ndlovu, mdutshekelwa"	1	26	0
1047	"negi, niharika"	1	2	0
1048	"neumann, michael"	1	54	0
1049	"newton, t. terry"	1	5	0
1050	"neykova, rumyana"	1	0	0
1051	"ng, davy tsz kit"	1	0	0
1052	"ng, vanessa s.c."	1	1	0
1053	"ngo, thi thuy an"	1	0	0
1054	"nguyen, austin"	1	0	0
1055	"nguyen, gina"	1	3	0
1056	"nguyen, nghi hoang"	1	2	0
1057	"nguyen, phuong thy"	1	0	0
1058	"nhung, ho le thi kim"	1	116	0
1059	"niam ibna riza, a."	1	6	0
1060	"nickel, christine"	1	5	0
1061	"nicolaescu, stefan vladimir"	1	14	0
1062	"nie, bing"	1	336	0
1063	"niedbal, rafal"	1	3	0
1064	"nikam, kaushal sanjay"	1	0	0
1065	"nikou, stavros a."	1	0	0
1066	"niloy, ahnaf chowdhury"	1	11	0
1067	"nishat, nurunnahar"	1	11	0
1068	"nitcharla, somasekhararao"	1	2	0
1069	"nizomova, nargiza"	1	0	0
1070	"nord, jeretta horn"	1	1502	0
1071	"novotná, jarmila"	1	3	0
1072	"nugroho, agung"	1	6	0
1073	"nurfaizin, safaah"	1	6	0
1074	"nye, benjamin d."	1	2	0
1075	"o'connor, siobhan"	1	1502	0
1076	"o'shea, james d."	1	30	0
1077	"obamiyi, stephen e."	1	0	0
1078	"oberer, birgit"	1	1	0
1079	"odede, julius"	1	3	0
1080	"offodile, onyebuchi felix"	1	2	0
1081	"ogamba, maria"	1	0	0
1082	"oguntimilehin, abiodun"	1	0	0
1083	"okebule, toyin"	1	0	0
1084	"okmanis, rihards"	1	0	0
1085	"okonkwo, chinedu wilfred"	1	338	0
1086	"okulu, hasan zuhtu"	1	4	0
1087	"okumus, fevzi"	1	1502	0
1088	"oliveira, francisco c. m. b."	1	5	0
1089	"oliveira, hugo goncalo"	1	9	0
1090	"olmez, ibrahim burak"	1	2	0
1091	"olukuru, john"	1	0	0
1092	"omar, mohd khaizer"	1	6	0
1093	"omidiora, joseph olamide"	1	10	0
1094	"onah, bernadine ifeoma"	1	0	0
1095	"opel, simone"	1	0	0
1096	"orbisor, bianca"	1	0	0
1097	"ortega-ochoa, elvis"	1	3	0
1098	"ortiqov, rustam"	1	0	0
1099	"orénúñez, elizabeth"	1	8	0
1100	"oswalt manoj, s."	1	0	0
1101	"ou, amy wanyu"	1	6	0
1102	"ouedraogo, ismaila"	1	1	0
1103	"owczarzak, karolina"	1	18	0
